타임스탬프,태양광 전압(V),배터리 전압(V),충방전 전류(A),출력 전압(V)
2026-01-06 11:11:57.507,0.4,11.5,0.00,22.2
2026-01-06 11:12:00.831,0.4,11.6,0.00,21.9
2026-01-06 11:12:04.155,0.5,11.6,0.00,22.0
2026-01-06 11:12:07.479,0.5,11.6,0.00,22.0
2026-01-06 11:12:10.803,0.4,11.6,0.00,21.8
2026-01-06 11:12:14.128,0.4,11.6,0.00,21.9
2026-01-06 11:12:17.450,0.4,11.6,0.00,22.0
2026-01-06 11:12:20.774,0.4,11.4,0.00,22.2
2026-01-06 11:12:24.096,0.4,11.5,0.00,21.9
2026-01-06 11:12:27.419,0.5,11.6,0.00,22.1
2026-01-06 11:12:30.744,0.5,11.6,0.00,22.1
2026-01-06 11:12:34.070,0.4,11.7,0.00,22.1
2026-01-06 11:12:37.394,0.4,11.4,0.00,22.3
2026-01-06 11:12:40.719,0.4,11.6,0.00,21.9
2026-01-06 11:12:44.041,0.5,11.7,0.00,22.2
2026-01-06 11:12:47.363,0.4,11.7,0.00,22.2
2026-01-06 11:12:50.688,0.4,11.6,0.00,22.1
